epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.517,3.42169,3.69577,4.17726,0.01239,0.35802,0.01089,0.0033,4.10301,4.01137,4.14711,0.00054409,0.00054409,0.00054409
2,29.4504,3.18916,3.1784,3.78692,0.08719,0.28395,0.04718,0.01033,3.25124,5.90866,3.7832,0.00109613,0.00109613,0.00109613
3,42.0623,2.89771,3.02464,3.44599,0.11159,0.17284,0.0728,0.0191,2.85234,3.76889,3.2724,0.0016445,0.0016445,0.0016445
4,54.6394,2.74109,2.8597,3.19923,0.15897,0.28395,0.14169,0.03803,2.58178,4.82791,3.08152,0.0016505,0.0016505,0.0016505
5,67.2677,2.5711,2.78579,3.04721,0.1877,0.2716,0.14066,0.04326,2.46283,3.28635,3.00052,0.001645,0.001645,0.001645
6,80.0044,2.45434,2.66464,2.95006,0.1316,0.36859,0.09897,0.03015,2.47957,4.65414,2.96285,0.00163949,0.00163949,0.00163949
7,92.535,2.31927,2.5371,2.8215,0.13849,0.12346,0.09145,0.02851,2.59733,3.61353,3.0258,0.00163399,0.00163399,0.00163399
8,105.197,2.2553,2.48888,2.77541,0.33762,0.25926,0.20205,0.06487,2.43767,2.79587,2.83163,0.00162849,0.00162849,0.00162849
9,117.846,2.15288,2.37507,2.64989,0.25999,0.28395,0.19243,0.0721,2.4285,2.92281,2.90563,0.00162299,0.00162299,0.00162299
10,130.426,2.10769,2.3017,2.61044,0.19938,0.32099,0.17493,0.06546,2.33866,3.04072,2.80476,0.00161749,0.00161749,0.00161749
11,143.286,2.03738,2.19515,2.53573,0.40249,0.20988,0.27619,0.08301,2.32574,2.47902,2.82908,0.00161199,0.00161199,0.00161199
12,155.98,2.0413,2.27643,2.54168,0.63327,0.39506,0.45836,0.19059,2.06325,2.45203,2.57881,0.00160649,0.00160649,0.00160649
13,168.654,1.96705,2.12703,2.43805,0.46081,0.4321,0.41843,0.19226,1.90482,2.60992,2.45367,0.00160099,0.00160099,0.00160099
14,181.316,1.94448,2.01635,2.40213,0.3749,0.44425,0.37798,0.14057,2.07445,2.21681,2.68423,0.00159549,0.00159549,0.00159549
15,194.147,1.90823,2.06822,2.34874,0.33314,0.30864,0.20923,0.09173,2.02003,2.53201,2.54344,0.00158998,0.00158998,0.00158998
16,206.929,1.86498,1.9199,2.31082,0.53261,0.46914,0.4836,0.23086,1.90461,2.05261,2.39052,0.00158448,0.00158448,0.00158448
17,219.823,1.8175,1.86506,2.25456,0.52576,0.44444,0.50258,0.23168,2.00064,2.0519,2.45878,0.00157898,0.00157898,0.00157898
18,232.779,1.81028,1.81911,2.24006,0.38508,0.2963,0.30322,0.12343,2.06116,2.17202,2.50204,0.00157348,0.00157348,0.00157348
19,245.695,1.79274,1.81381,2.19819,0.74364,0.35802,0.44727,0.24071,1.90574,2.27662,2.43752,0.00156798,0.00156798,0.00156798
20,258.633,1.71437,1.72378,2.15894,0.53411,0.48148,0.56749,0.26528,1.8004,1.81548,2.32833,0.00156248,0.00156248,0.00156248
21,271.621,1.75923,1.70909,2.17548,0.81643,0.53086,0.62546,0.2747,1.84257,1.75719,2.35414,0.00155698,0.00155698,0.00155698
22,284.604,1.70837,1.67419,2.14077,0.71169,0.54321,0.63913,0.29991,1.77136,1.84795,2.26212,0.00155148,0.00155148,0.00155148
23,298.352,1.71327,1.65983,2.13077,0.59266,0.53086,0.5591,0.27084,1.921,1.79448,2.40687,0.00154598,0.00154598,0.00154598
24,311.659,1.70524,1.6722,2.1085,0.6499,0.48148,0.57179,0.24913,1.98192,1.77145,2.48721,0.00154047,0.00154047,0.00154047
25,325.13,1.64511,1.5831,2.077,0.77424,0.49383,0.64805,0.30939,1.83733,1.64372,2.3367,0.00153497,0.00153497,0.00153497
26,338.753,1.63976,1.55854,2.04397,0.47542,0.5679,0.46588,0.19542,1.87135,1.88504,2.31704,0.00152947,0.00152947,0.00152947
27,354.236,1.64776,1.54535,2.05379,0.82742,0.59259,0.69785,0.33891,1.68834,1.63533,2.16965,0.00152397,0.00152397,0.00152397
28,368.697,1.60364,1.58493,2.00484,0.65557,0.50617,0.59277,0.30306,1.86159,1.67388,2.27444,0.00151847,0.00151847,0.00151847
29,382.89,1.60153,1.5162,1.995,0.81353,0.75406,0.80853,0.41209,1.71863,1.38895,2.20791,0.00151297,0.00151297,0.00151297
30,397.242,1.61705,1.50344,2.01495,0.77709,0.64563,0.71754,0.3354,1.77255,1.57539,2.25119,0.00150747,0.00150747,0.00150747
31,411.522,1.59745,1.46663,1.99619,0.88022,0.45366,0.5836,0.30328,1.87697,1.58854,2.3336,0.00150197,0.00150197,0.00150197
32,427.055,1.59888,1.48251,2.01246,0.74727,0.62963,0.71147,0.35796,1.71883,1.40138,2.20231,0.00149647,0.00149647,0.00149647
33,440.503,1.61964,1.47782,2.01621,0.8176,0.60876,0.75231,0.38083,1.70008,1.58231,2.18253,0.00149096,0.00149096,0.00149096
34,453.855,1.6204,1.47638,2.02899,0.78378,0.60494,0.71901,0.3266,1.78807,1.552,2.22951,0.00148546,0.00148546,0.00148546
35,467.101,1.55358,1.42994,1.95342,0.74216,0.76543,0.80445,0.41133,1.68975,1.287,2.19075,0.00147996,0.00147996,0.00147996
36,480.665,1.57009,1.42564,1.96302,0.84985,0.69879,0.78722,0.40944,1.67815,1.33337,2.14262,0.00147446,0.00147446,0.00147446
37,494.198,1.56985,1.42207,1.96557,0.86253,0.65432,0.76459,0.39748,1.74375,1.292,2.15244,0.00146896,0.00146896,0.00146896
38,508.134,1.5277,1.38974,1.93514,0.85202,0.66667,0.8177,0.4257,1.67881,1.18956,2.21674,0.00146346,0.00146346,0.00146346
39,522.469,1.5413,1.34447,1.91615,0.84622,0.67938,0.81407,0.42279,1.70928,1.26649,2.14294,0.00145796,0.00145796,0.00145796
40,536.71,1.505,1.35555,1.92911,0.77791,0.6487,0.70145,0.34426,1.84922,1.38255,2.31184,0.00145246,0.00145246,0.00145246
41,550.84,1.48274,1.32751,1.8976,0.85252,0.76543,0.8371,0.42607,1.6858,1.14546,2.17595,0.00144696,0.00144696,0.00144696
42,566.82,1.47776,1.30219,1.89395,0.808,0.61728,0.75661,0.41501,1.67598,1.27465,2.16841,0.00144145,0.00144145,0.00144145
43,580.397,1.4894,1.27836,1.87467,0.82728,0.65432,0.75968,0.38558,1.79581,1.23243,2.20841,0.00143595,0.00143595,0.00143595
44,594.453,1.50554,1.33661,1.89207,0.85505,0.72827,0.80793,0.43736,1.65346,1.14914,2.09638,0.00143045,0.00143045,0.00143045
45,608.193,1.52338,1.33675,1.90036,0.77086,0.70609,0.77576,0.36354,1.8136,1.30138,2.27907,0.00142495,0.00142495,0.00142495
46,622.126,1.47491,1.26672,1.87967,0.79441,0.71605,0.79782,0.36981,1.79863,1.32412,2.19198,0.00141945,0.00141945,0.00141945
47,635.796,1.47936,1.26515,1.84026,0.82965,0.72159,0.79526,0.42374,1.67364,1.11894,2.08851,0.00141395,0.00141395,0.00141395
48,650.789,1.46751,1.24842,1.85564,0.81606,0.65731,0.76267,0.39061,1.7982,1.27712,2.19135,0.00140845,0.00140845,0.00140845
49,665.657,1.45899,1.23503,1.85596,0.81949,0.75309,0.82548,0.45801,1.63347,1.22347,2.05369,0.00140295,0.00140295,0.00140295
50,680.976,1.46002,1.22043,1.83919,0.78489,0.62963,0.71608,0.33396,1.91625,1.26557,2.31043,0.00139745,0.00139745,0.00139745
51,695.316,1.45267,1.22561,1.81834,0.84051,0.80247,0.8377,0.42147,1.65197,1.1612,2.05068,0.00139195,0.00139195,0.00139195
52,710.681,1.45854,1.20318,1.85085,0.7112,0.76543,0.78331,0.3698,1.73745,1.3048,2.13531,0.00138644,0.00138644,0.00138644
53,725.271,1.41761,1.23532,1.80918,0.8679,0.73001,0.85294,0.43477,1.64705,1.07951,2.10635,0.00138094,0.00138094,0.00138094
54,739.123,1.40135,1.19195,1.80264,0.85874,0.67901,0.78763,0.42452,1.70073,1.13694,2.09736,0.00137544,0.00137544,0.00137544
55,752.536,1.42302,1.27674,1.81819,0.83265,0.73715,0.82864,0.4462,1.61672,1.14463,2.07663,0.00136994,0.00136994,0.00136994
56,765.944,1.40694,1.18672,1.80492,0.88229,0.71605,0.84091,0.43085,1.64213,1.12735,2.02498,0.00136444,0.00136444,0.00136444
57,779.36,1.40929,1.19037,1.79437,0.88223,0.83951,0.86533,0.45033,1.65194,1.02852,2.03055,0.00135894,0.00135894,0.00135894
58,792.691,1.41811,1.15828,1.79797,0.82104,0.71605,0.81692,0.43631,1.63454,1.08678,2.07495,0.00135344,0.00135344,0.00135344
59,806.11,1.4402,1.28499,1.8253,0.75954,0.83951,0.84987,0.4368,1.6908,1.05827,2.06601,0.00134794,0.00134794,0.00134794
60,819.595,1.37841,1.15084,1.7709,0.73811,0.7284,0.79803,0.4262,1.66884,1.13485,2.06899,0.00134244,0.00134244,0.00134244
